month,category,total_visits,record_count,unique_stores,mean_daily_visits,data_type
2022-12-01,Shoe Stores,37379291,40765,1315,916.95,derived
2023-01-01,Shoe Stores,20160638,40827,1317,493.81,derived
2023-02-01,Shoe Stores,19099324,36932,1319,517.15,derived
2023-03-01,Shoe Stores,22973748,40889,1319,561.86,derived
2023-04-01,Shoe Stores,23852078,39630,1321,601.87,derived
2023-05-01,Shoe Stores,24002463,40951,1321,586.13,derived
2023-06-01,Shoe Stores,24157438,39600,1320,610.04,derived
2023-07-01,Shoe Stores,27998427,41199,1329,679.59,derived
2023-08-01,Shoe Stores,31178514,41199,1329,756.78,derived
2023-09-01,Shoe Stores,22566591,39870,1329,566.0,derived
2023-10-01,Shoe Stores,22198797,40982,1322,541.67,derived
2023-11-01,Shoe Stores,27274107,39750,1325,686.14,derived
2023-12-01,Shoe Stores,37341324,41168,1328,907.05,derived
2024-01-01,Shoe Stores,19215944,40951,1321,469.24,derived
2024-02-01,Shoe Stores,18212847,37120,1280,490.65,derived
2024-03-01,Shoe Stores,23330123,39649,1279,588.42,derived
2024-04-01,Shoe Stores,20963228,38400,1280,545.92,derived
2024-05-01,Shoe Stores,23469713,39773,1283,590.09,derived
2024-06-01,Shoe Stores,23242968,38460,1282,604.34,derived
2024-07-01,Shoe Stores,26548141,39742,1282,668.01,derived
2024-08-01,Shoe Stores,31845105,39680,1280,802.55,derived
2024-09-01,Shoe Stores,20403355,38340,1278,532.17,derived
2024-10-01,Shoe Stores,20634777,39587,1277,521.25,derived
2024-11-01,Shoe Stores,26011151,38520,1284,675.26,derived
2024-12-01,Shoe Stores,33076876,39835,1285,830.35,derived
2020-01-01,Special Food Services,135794,527,17,257.67,derived
2020-02-01,Special Food Services,140758,493,17,285.51,derived
2020-03-01,Special Food Services,77220,527,17,146.53,derived
2020-04-01,Special Food Services,0,510,17,0.0,derived
2020-05-01,Special Food Services,69765,527,17,132.38,derived
2020-06-01,Special Food Services,109761,510,17,215.22,derived
2020-07-01,Special Food Services,98259,527,17,186.45,derived
2020-08-01,Special Food Services,102429,527,17,194.36,derived
2020-09-01,Special Food Services,109695,510,17,215.09,derived
2020-10-01,Special Food Services,123996,527,17,235.29,derived
2020-11-01,Special Food Services,113867,510,17,223.27,derived
2020-12-01,Special Food Services,115765,527,17,219.67,derived
2021-01-01,Special Food Services,98192,527,17,186.32,derived
2021-02-01,Special Food Services,83965,476,17,176.4,derived
2021-03-01,Special Food Services,125666,527,17,238.46,derived
2021-04-01,Special Food Services,145413,510,17,285.12,derived
2021-05-01,Special Food Services,149224,527,17,283.16,derived
2021-06-01,Special Food Services,143356,510,17,281.09,derived
2021-07-01,Special Food Services,148308,527,17,281.42,derived
2021-08-01,Special Food Services,138092,527,17,262.03,derived
2021-09-01,Special Food Services,139466,540,18,258.27,derived
2021-10-01,Special Food Services,149287,558,18,267.54,derived
2021-11-01,Special Food Services,136497,540,18,252.77,derived
2021-12-01,Special Food Services,158139,558,18,283.4,derived
2022-01-01,Special Food Services,121280,527,17,230.13,derived
2022-02-01,Special Food Services,122946,476,17,258.29,derived
2022-03-01,Special Food Services,142024,527,17,269.5,derived
2022-04-01,Special Food Services,139767,480,16,291.18,derived
2022-05-01,Special Food Services,142124,527,17,269.69,derived
2022-06-01,Special Food Services,137407,510,17,269.43,derived
2022-07-01,Special Food Services,137751,527,17,261.39,derived
2022-08-01,Special Food Services,132650,527,17,251.71,derived
2022-09-01,Special Food Services,137560,510,17,269.73,derived
2022-10-01,Special Food Services,134872,527,17,255.92,derived
2022-11-01,Special Food Services,126007,510,17,247.07,derived
2022-12-01,Special Food Services,132224,527,17,250.9,derived
2023-01-01,Special Food Services,120001,527,17,227.71,derived
2023-02-01,Special Food Services,120702,476,17,253.58,derived
2023-03-01,Special Food Services,134645,527,17,255.49,derived
2023-04-01,Special Food Services,139168,510,17,272.88,derived
2023-05-01,Special Food Services,140175,527,17,265.99,derived
2023-06-01,Special Food Services,137036,510,17,268.7,derived
2023-07-01,Special Food Services,140983,527,17,267.52,derived
2023-08-01,Special Food Services,131007,527,17,248.59,derived
2023-09-01,Special Food Services,129032,510,17,253.0,derived
2023-10-01,Special Food Services,130608,527,17,247.83,derived
2023-11-01,Special Food Services,119777,510,17,234.86,derived
2023-12-01,Special Food Services,131572,527,17,249.66,derived
2024-01-01,Special Food Services,113540,527,17,215.45,derived
2024-02-01,Special Food Services,124475,493,17,252.48,derived
2024-03-01,Special Food Services,136277,527,17,258.59,derived
2024-04-01,Special Food Services,131548,510,17,257.94,derived
2024-05-01,Special Food Services,143976,527,17,273.2,derived
2024-06-01,Special Food Services,133244,510,17,261.26,derived
2024-07-01,Special Food Services,130758,527,17,248.12,derived
2024-08-01,Special Food Services,133466,527,17,253.26,derived
2024-09-01,Special Food Services,122125,510,17,239.46,derived
2024-10-01,Special Food Services,129231,527,17,245.22,derived
2024-11-01,Special Food Services,120939,510,17,237.14,derived
2024-12-01,Special Food Services,127061,527,17,241.1,derived
2020-01-01,Specialized Freight Trucking,71887,1457,47,49.34,derived
2020-02-01,Specialized Freight Trucking,69531,1363,47,51.01,derived
2020-03-01,Specialized Freight Trucking,38425,1457,47,26.37,derived
2020-04-01,Specialized Freight Trucking,1434,1410,47,1.02,derived
2020-05-01,Specialized Freight Trucking,29483,1457,47,20.24,derived
2020-06-01,Specialized Freight Trucking,57101,1410,47,40.5,derived
2020-07-01,Specialized Freight Trucking,56418,1457,47,38.72,derived
2020-08-01,Specialized Freight Trucking,56207,1457,47,38.58,derived
2020-09-01,Specialized Freight Trucking,54444,1410,47,38.61,derived
2020-10-01,Specialized Freight Trucking,57727,1457,47,39.62,derived
2020-11-01,Specialized Freight Trucking,57597,1410,47,40.85,derived
2020-12-01,Specialized Freight Trucking,58602,1457,47,40.22,derived
2021-01-01,Specialized Freight Trucking,43918,1457,47,30.14,derived
2021-02-01,Specialized Freight Trucking,41266,1316,47,31.36,derived
2021-03-01,Specialized Freight Trucking,62483,1457,47,42.88,derived
2021-04-01,Specialized Freight Trucking,62974,1410,47,44.66,derived
2021-05-01,Specialized Freight Trucking,67734,1488,48,45.52,derived
2021-06-01,Specialized Freight Trucking,65667,1440,48,45.6,derived
2021-07-01,Specialized Freight Trucking,69665,1488,48,46.82,derived
2021-08-01,Specialized Freight Trucking,66143,1488,48,44.45,derived
2021-09-01,Specialized Freight Trucking,61323,1440,48,42.59,derived
2021-10-01,Specialized Freight Trucking,62090,1488,48,41.73,derived
2021-11-01,Specialized Freight Trucking,67539,1440,48,46.9,derived
2021-12-01,Specialized Freight Trucking,72663,1488,48,48.83,derived
2022-01-01,Specialized Freight Trucking,57434,1488,48,38.6,derived
2022-02-01,Specialized Freight Trucking,55570,1344,48,41.35,derived
2022-03-01,Specialized Freight Trucking,65686,1488,48,44.14,derived
2022-04-01,Specialized Freight Trucking,63314,1440,48,43.97,derived
2022-05-01,Specialized Freight Trucking,65830,1488,48,44.24,derived
2022-06-01,Specialized Freight Trucking,65917,1440,48,45.78,derived
2022-07-01,Specialized Freight Trucking,68384,1519,49,45.02,derived
2022-08-01,Specialized Freight Trucking,69282,1519,49,45.61,derived
2022-09-01,Specialized Freight Trucking,62214,1500,50,41.48,derived
2022-10-01,Specialized Freight Trucking,63071,1550,50,40.69,derived
2022-11-01,Specialized Freight Trucking,65273,1500,50,43.52,derived
2022-12-01,Specialized Freight Trucking,72109,1550,50,46.52,derived
2023-01-01,Specialized Freight Trucking,60504,1550,50,39.03,derived
2023-02-01,Specialized Freight Trucking,57254,1428,51,40.09,derived
2023-03-01,Specialized Freight Trucking,65541,1581,51,41.46,derived
2023-04-01,Specialized Freight Trucking,62364,1530,51,40.76,derived
2023-05-01,Specialized Freight Trucking,66758,1612,52,41.41,derived
2023-06-01,Specialized Freight Trucking,65943,1560,52,42.27,derived
2023-07-01,Specialized Freight Trucking,68741,1612,52,42.64,derived
2023-08-01,Specialized Freight Trucking,67210,1612,52,41.69,derived
2023-09-01,Specialized Freight Trucking,61555,1560,52,39.46,derived
2023-10-01,Specialized Freight Trucking,62641,1643,53,38.13,derived
2023-11-01,Specialized Freight Trucking,65614,1590,53,41.27,derived
2023-12-01,Specialized Freight Trucking,74301,1674,54,44.39,derived
2024-01-01,Specialized Freight Trucking,61067,1674,54,36.48,derived
2024-02-01,Specialized Freight Trucking,59119,1566,54,37.75,derived
